Stage3_Outlay_Type,Outlay_Amount,Stage4_Function,VizSideOutlays,percent of outlays,Rank_Stage3_Outlays,Rank_Stage4_Functions,Link,t,sigmoid,curve
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,-6.0,0.00247262315663,30.0049452463
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,-5.75,0.00317268284249,30.0063453657
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,-5.5,0.0040701377159,30.0081402754
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,-5.25,0.00522012569356,30.0104402514
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,-5.0,0.00669285092428,30.0133857018
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,-4.75,0.00857748541371,30.0171549708
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,-4.5,0.0109869426306,30.0219738853
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,-4.25,0.0140636270432,30.0281272541
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,-4.0,0.0179862099621,30.0359724199
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,-3.75,0.02297736991,30.0459547398
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,-3.5,0.0293122307514,30.0586244615
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,-3.25,0.0373268873441,30.0746537747
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,-3.0,0.0474258731776,30.0948517464
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,-2.75,0.060086650174,30.1201733003
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,-2.5,0.0758581800212,30.15171636
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,-2.25,0.0953494648991,30.1906989298
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,-2.0,0.119202922022,30.238405844
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,-1.75,0.148047198032,30.2960943961
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,-1.5,0.182425523806,30.3648510476
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,-1.25,0.222700138825,30.4454002777
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,-1.0,0.26894142137,30.5378828427
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,-0.75,0.320821300825,30.6416426016
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,-0.5,0.377540668798,30.7550813376
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,-0.25,0.437823499114,30.8756469982
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,0.0,0.5,31.0
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,0.25,0.562176500886,31.1243530018
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,0.5,0.622459331202,31.2449186624
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,0.75,0.679178699175,31.3583573984
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,1.0,0.73105857863,31.4621171573
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,1.25,0.777299861175,31.5545997223
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,1.5,0.817574476194,31.6351489524
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,1.75,0.851952801968,31.7039056039
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,2.0,0.880797077978,31.761594156
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,2.25,0.904650535101,31.8093010702
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,2.5,0.924141819979,31.84828364
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,2.75,0.939913349826,31.8798266997
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,3.0,0.952574126822,31.9051482536
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,3.25,0.962673112656,31.9253462253
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,3.5,0.970687769249,31.9413755385
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,3.75,0.97702263009,31.9540452602
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,4.0,0.982013790038,31.9640275801
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,4.25,0.985936372957,31.9718727459
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,4.5,0.989013057369,31.9780261147
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,4.75,0.991422514586,31.9828450292
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,5.0,0.993307149076,31.9866142982
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,5.25,0.994779874306,31.9895597486
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,5.5,0.995929862284,31.9918597246
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,5.75,0.996827317158,31.9936546343
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,6.0,0.997527376843,31.9950547537
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,-6.0,0.00247262315663,30.0049452463
Outlay,78680000000,Social Security,Function,0.2392609306483886,30,32,link,-5.75,0.00317268284249,30.0063453657
